StudentID,CourseID,Semester,Name,StudentDept,CourseName,CourseDept,Grade,letter_grade
S001,C109,Fall2023,Student1,Computer Science,Inorganic Chemistry,Chemistry,77.0,B
S001,C111,Fall2023,Student1,Computer Science,Microbiology,Biology,60.0,C
S002,C110,Fall2023,Student2,Computer Science,Genetics,Biology,68.0,C
S002,C107,Fall2023,Student2,Computer Science,Electromagnetism,Physics,72.0,C
S002,C111,Fall2023,Student2,Computer Science,Microbiology,Biology,97.0,A
S003,C104,Fall2023,Student3,Physics,Calculus,Mathematics,87.0,B
S003,C103,Fall2023,Student3,Physics,Databases,Computer Science,45.0,D
S003,C109,Fall2023,Student3,Physics,Inorganic Chemistry,Chemistry,82.0,B
S004,C102,Fall2023,Student4,Mathematics,Algorithms,Computer Science,61.0,C
S004,C101,Fall2023,Student4,Mathematics,Data Structures,Computer Science,,F
S004,C111,Fall2023,Student4,Mathematics,Microbiology,Biology,55.0,D
S005,C111,Fall2023,Student5,Mathematics,Microbiology,Biology,54.0,D
S005,C103,Fall2023,Student5,Mathematics,Databases,Computer Science,49.0,D
S006,C107,Fall2023,Student6,Mathematics,Electromagnetism,Physics,,F
S006,C110,Fall2023,Student6,Mathematics,Genetics,Biology,70.0,C
S006,C102,Fall2023,Student6,Mathematics,Algorithms,Computer Science,89.0,B
S006,C111,Fall2023,Student6,Mathematics,Microbiology,Biology,,F
S007,C110,Fall2023,Student7,Computer Science,Genetics,Biology,80.0,B
S007,C108,Fall2023,Student7,Computer Science,Organic Chemistry,Chemistry,85.0,B
S007,C109,Fall2023,Student7,Computer Science,Inorganic Chemistry,Chemistry,71.0,C
S008,C109,Fall2023,Student8,Biology,Inorganic Chemistry,Chemistry,49.0,D
S008,C101,Fall2023,Student8,Biology,Data Structures,Computer Science,40.0,D
S008,C102,Fall2023,Student8,Biology,Algorithms,Computer Science,95.0,A
S009,C109,Fall2023,Student9,Computer Science,Inorganic Chemistry,Chemistry,46.0,D
S009,C105,Fall2023,Student9,Computer Science,Linear Algebra,Mathematics,54.0,D
S009,C106,Fall2023,Student9,Computer Science,Quantum Mechanics,Physics,84.0,B
S009,C102,Fall2023,Student9,Computer Science,Algorithms,Computer Science,43.0,D
S010,C107,Fall2023,Student10,Biology,Electromagnetism,Physics,98.0,A
S010,C103,Fall2023,Student10,Biology,Databases,Computer Science,69.0,C
S010,C108,Fall2023,Student10,Biology,Organic Chemistry,Chemistry,69.0,C
S011,C105,Fall2023,Student11,Chemistry,Linear Algebra,Mathematics,75.0,B
S011,C109,Fall2023,Student11,Chemistry,Inorganic Chemistry,Chemistry,100.0,A
S012,C109,Fall2023,Student12,Computer Science,Inorganic Chemistry,Chemistry,68.0,C
S012,C102,Fall2023,Student12,Computer Science,Algorithms,Computer Science,86.0,B
S013,C105,Fall2023,Student13,Computer Science,Linear Algebra,Mathematics,67.0,C
S013,C109,Fall2023,Student13,Computer Science,Inorganic Chemistry,Chemistry,75.0,B
S013,C104,Fall2023,Student13,Computer Science,Calculus,Mathematics,50.0,D
S013,C103,Fall2023,Student13,Computer Science,Databases,Computer Science,70.0,C
S014,C103,Fall2023,Student14,Computer Science,Databases,Computer Science,88.0,B
S014,C109,Fall2023,Student14,Computer Science,Inorganic Chemistry,Chemistry,80.0,B
S014,C110,Fall2023,Student14,Computer Science,Genetics,Biology,89.0,B
S015,C110,Fall2023,Student15,Mathematics,Genetics,Biology,80.0,B
S015,C106,Fall2023,Student15,Mathematics,Quantum Mechanics,Physics,68.0,C
S016,C101,Fall2023,Student16,Mathematics,Data Structures,Computer Science,,F
S016,C102,Fall2023,Student16,Mathematics,Algorithms,Computer Science,57.0,D
S016,C106,Fall2023,Student16,Mathematics,Quantum Mechanics,Physics,97.0,A
S017,C104,Fall2023,Student17,Biology,Calculus,Mathematics,48.0,D
S017,C101,Fall2023,Student17,Biology,Data Structures,Computer Science,64.0,C
S017,C111,Fall2023,Student17,Biology,Microbiology,Biology,85.0,B
S018,C102,Fall2023,Student18,Biology,Algorithms,Computer Science,66.0,C
S018,C111,Fall2023,Student18,Biology,Microbiology,Biology,74.0,C
S018,C108,Fall2023,Student18,Biology,Organic Chemistry,Chemistry,43.0,D
S018,C110,Fall2023,Student18,Biology,Genetics,Biology,66.0,C
S019,C103,Fall2023,Student19,Computer Science,Databases,Computer Science,89.0,B
S019,C111,Fall2023,Student19,Computer Science,Microbiology,Biology,84.0,B
S019,C108,Fall2023,Student19,Computer Science,Organic Chemistry,Chemistry,,F
S019,C110,Fall2023,Student19,Computer Science,Genetics,Biology,76.0,B
S020,C109,Fall2023,Student20,Biology,Inorganic Chemistry,Chemistry,40.0,D
S020,C110,Fall2023,Student20,Biology,Genetics,Biology,59.0,D
S020,C107,Fall2023,Student20,Biology,Electromagnetism,Physics,94.0,A
S021,C109,Fall2023,Student21,Mathematics,Inorganic Chemistry,Chemistry,93.0,A
S021,C104,Fall2023,Student21,Mathematics,Calculus,Mathematics,87.0,B
S022,C105,Fall2023,Student22,Biology,Linear Algebra,Mathematics,91.0,A
S022,C107,Fall2023,Student22,Biology,Electromagnetism,Physics,54.0,D
S022,C106,Fall2023,Student22,Biology,Quantum Mechanics,Physics,57.0,D
S022,C108,Fall2023,Student22,Biology,Organic Chemistry,Chemistry,41.0,D
S023,C108,Fall2023,Student23,Chemistry,Organic Chemistry,Chemistry,82.0,B
S023,C102,Fall2023,Student23,Chemistry,Algorithms,Computer Science,65.0,C
S023,C104,Fall2023,Student23,Chemistry,Calculus,Mathematics,93.0,A
S023,C109,Fall2023,Student23,Chemistry,Inorganic Chemistry,Chemistry,48.0,D
S024,C106,Fall2023,Student24,Mathematics,Quantum Mechanics,Physics,74.0,C
S024,C101,Fall2023,Student24,Mathematics,Data Structures,Computer Science,,F
S025,C109,Fall2023,Student25,Chemistry,Inorganic Chemistry,Chemistry,76.0,B
S025,C104,Fall2023,Student25,Chemistry,Calculus,Mathematics,45.0,D
S025,C110,Fall2023,Student25,Chemistry,Genetics,Biology,48.0,D
S025,C101,Fall2023,Student25,Chemistry,Data Structures,Computer Science,51.0,D
S026,C111,Fall2023,Student26,Biology,Microbiology,Biology,,F
S026,C101,Fall2023,Student26,Biology,Data Structures,Computer Science,53.0,D
S027,C102,Fall2023,Student27,Physics,Algorithms,Computer Science,61.0,C
S027,C101,Fall2023,Student27,Physics,Data Structures,Computer Science,64.0,C
S028,C102,Fall2023,Student28,Computer Science,Algorithms,Computer Science,100.0,A
S028,C109,Fall2023,Student28,Computer Science,Inorganic Chemistry,Chemistry,56.0,D
S028,C104,Fall2023,Student28,Computer Science,Calculus,Mathematics,70.0,C
S029,C111,Fall2023,Student29,Mathematics,Microbiology,Biology,,F
S029,C108,Fall2023,Student29,Mathematics,Organic Chemistry,Chemistry,100.0,A
S029,C104,Fall2023,Student29,Mathematics,Calculus,Mathematics,81.0,B
S030,C103,Fall2023,Student30,Chemistry,Databases,Computer Science,,F
S030,C110,Fall2023,Student30,Chemistry,Genetics,Biology,42.0,D
S030,C108,Fall2023,Student30,Chemistry,Organic Chemistry,Chemistry,100.0,A
S030,C104,Fall2023,Student30,Chemistry,Calculus,Mathematics,93.0,A
S031,C107,Fall2023,Student31,Physics,Electromagnetism,Physics,,F
S031,C104,Fall2023,Student31,Physics,Calculus,Mathematics,48.0,D
S031,C102,Fall2023,Student31,Physics,Algorithms,Computer Science,47.0,D
S032,C111,Fall2023,Student32,Physics,Microbiology,Biology,53.0,D
S032,C107,Fall2023,Student32,Physics,Electromagnetism,Physics,56.0,D
S033,C107,Fall2023,Student33,Mathematics,Electromagnetism,Physics,50.0,D
S033,C111,Fall2023,Student33,Mathematics,Microbiology,Biology,87.0,B
S033,C108,Fall2023,Student33,Mathematics,Organic Chemistry,Chemistry,89.0,B
S034,C101,Fall2023,Student34,Mathematics,Data Structures,Computer Science,59.0,D
S034,C102,Fall2023,Student34,Mathematics,Algorithms,Computer Science,41.0,D
S034,C111,Fall2023,Student34,Mathematics,Microbiology,Biology,76.0,B
S034,C107,Fall2023,Student34,Mathematics,Electromagnetism,Physics,64.0,C
S035,C106,Fall2023,Student35,Physics,Quantum Mechanics,Physics,85.0,B
S035,C102,Fall2023,Student35,Physics,Algorithms,Computer Science,77.0,B
S035,C104,Fall2023,Student35,Physics,Calculus,Mathematics,80.0,B
S035,C109,Fall2023,Student35,Physics,Inorganic Chemistry,Chemistry,84.0,B
S036,C109,Fall2023,Student36,Computer Science,Inorganic Chemistry,Chemistry,94.0,A
S036,C108,Fall2023,Student36,Computer Science,Organic Chemistry,Chemistry,91.0,A
S037,C107,Fall2023,Student37,Computer Science,Electromagnetism,Physics,76.0,B
S037,C103,Fall2023,Student37,Computer Science,Databases,Computer Science,62.0,C
S038,C108,Fall2023,Student38,Chemistry,Organic Chemistry,Chemistry,82.0,B
S038,C104,Fall2023,Student38,Chemistry,Calculus,Mathematics,72.0,C
S038,C102,Fall2023,Student38,Chemistry,Algorithms,Computer Science,40.0,D
S039,C109,Fall2023,Student39,Computer Science,Inorganic Chemistry,Chemistry,92.0,A
S039,C102,Fall2023,Student39,Computer Science,Algorithms,Computer Science,67.0,C
S039,C101,Fall2023,Student39,Computer Science,Data Structures,Computer Science,80.0,B
S040,C109,Fall2023,Student40,Physics,Inorganic Chemistry,Chemistry,69.0,C
S040,C101,Fall2023,Student40,Physics,Data Structures,Computer Science,67.0,C
S040,C102,Fall2023,Student40,Physics,Algorithms,Computer Science,73.0,C
S040,C104,Fall2023,Student40,Physics,Calculus,Mathematics,57.0,D
S041,C107,Fall2023,Student41,Physics,Electromagnetism,Physics,98.0,A
S041,C108,Fall2023,Student41,Physics,Organic Chemistry,Chemistry,70.0,C
S042,C104,Fall2023,Student42,Biology,Calculus,Mathematics,92.0,A
S042,C107,Fall2023,Student42,Biology,Electromagnetism,Physics,57.0,D
S042,C101,Fall2023,Student42,Biology,Data Structures,Computer Science,55.0,D
S043,C107,Fall2023,Student43,Physics,Electromagnetism,Physics,45.0,D
S043,C101,Fall2023,Student43,Physics,Data Structures,Computer Science,68.0,C
S044,C105,Fall2023,Student44,Computer Science,Linear Algebra,Mathematics,69.0,C
S044,C108,Fall2023,Student44,Computer Science,Organic Chemistry,Chemistry,82.0,B
S044,C111,Fall2023,Student44,Computer Science,Microbiology,Biology,41.0,D
S045,C109,Fall2023,Student45,Chemistry,Inorganic Chemistry,Chemistry,60.0,C
S045,C108,Fall2023,Student45,Chemistry,Organic Chemistry,Chemistry,53.0,D
S045,C103,Fall2023,Student45,Chemistry,Databases,Computer Science,56.0,D
S046,C105,Fall2023,Student46,Biology,Linear Algebra,Mathematics,96.0,A
S046,C104,Fall2023,Student46,Biology,Calculus,Mathematics,96.0,A
S047,C110,Fall2023,Student47,Computer Science,Genetics,Biology,40.0,D
S047,C109,Fall2023,Student47,Computer Science,Inorganic Chemistry,Chemistry,52.0,D
S048,C106,Fall2023,Student48,Chemistry,Quantum Mechanics,Physics,,F
S048,C101,Fall2023,Student48,Chemistry,Data Structures,Computer Science,71.0,C
S049,C110,Fall2023,Student49,Computer Science,Genetics,Biology,55.0,D
S049,C108,Fall2023,Student49,Computer Science,Organic Chemistry,Chemistry,81.0,B
S050,C109,Fall2023,Student50,Biology,Inorganic Chemistry,Chemistry,68.0,C
S050,C103,Fall2023,Student50,Biology,Databases,Computer Science,45.0,D
S050,C101,Fall2023,Student50,Biology,Data Structures,Computer Science,65.0,C
S050,C102,Fall2023,Student50,Biology,Algorithms,Computer Science,59.0,D
S051,C102,Fall2023,Student51,Physics,Algorithms,Computer Science,63.0,C
S051,C110,Fall2023,Student51,Physics,Genetics,Biology,73.0,C
S052,C111,Fall2023,Student52,Biology,Microbiology,Biology,87.0,B
S052,C104,Fall2023,Student52,Biology,Calculus,Mathematics,62.0,C
S053,C102,Fall2023,Student53,Physics,Algorithms,Computer Science,57.0,D
S053,C110,Fall2023,Student53,Physics,Genetics,Biology,54.0,D
S053,C104,Fall2023,Student53,Physics,Calculus,Mathematics,52.0,D
S054,C110,Fall2023,Student54,Biology,Genetics,Biology,87.0,B
S054,C101,Fall2023,Student54,Biology,Data Structures,Computer Science,88.0,B
S054,C102,Fall2023,Student54,Biology,Algorithms,Computer Science,52.0,D
S054,C107,Fall2023,Student54,Biology,Electromagnetism,Physics,70.0,C
S055,C110,Fall2023,Student55,Mathematics,Genetics,Biology,77.0,B
S055,C111,Fall2023,Student55,Mathematics,Microbiology,Biology,73.0,C
S055,C109,Fall2023,Student55,Mathematics,Inorganic Chemistry,Chemistry,46.0,D
S055,C106,Fall2023,Student55,Mathematics,Quantum Mechanics,Physics,58.0,D
S056,C104,Fall2023,Student56,Computer Science,Calculus,Mathematics,51.0,D
S056,C106,Fall2023,Student56,Computer Science,Quantum Mechanics,Physics,85.0,B
S056,C111,Fall2023,Student56,Computer Science,Microbiology,Biology,57.0,D
S057,C107,Fall2023,Student57,Computer Science,Electromagnetism,Physics,,F
S057,C103,Fall2023,Student57,Computer Science,Databases,Computer Science,,F
S057,C105,Fall2023,Student57,Computer Science,Linear Algebra,Mathematics,100.0,A
S058,C106,Fall2023,Student58,Mathematics,Quantum Mechanics,Physics,95.0,A
S058,C102,Fall2023,Student58,Mathematics,Algorithms,Computer Science,46.0,D
S058,C101,Fall2023,Student58,Mathematics,Data Structures,Computer Science,76.0,B
S059,C110,Fall2023,Student59,Physics,Genetics,Biology,70.0,C
S059,C111,Fall2023,Student59,Physics,Microbiology,Biology,51.0,D
S059,C102,Fall2023,Student59,Physics,Algorithms,Computer Science,56.0,D
